features.properties.@id,Amenity_name,Latitude,Longitude,Terrace_Status
node/4726582989,Amakó,"4,1397663","2,1671923",
node/4726583193,Betlem,"41,3949258","2,1712207",
node/4727975192,La Coruña,"41,4083413","2,1851911",
node/4728103192,Cafè Arrels,"41,4137041","2,1809929",
node/4729343193,Cervecería Frankfurt El Molino,"41,3746194","2,1669636",
node/4729539590,Caj Chai,"41,3828733","0,2175566",
node/4735766123,I'll Pomo d'Oro,"41,3926987","2,1585151",
node/4737137388,Can Virgili (restaurant),"41,6561191","2,5091946",
node/4743830714,Casa Escarré (Joan's),"41,3747567","2,1427755",
node/4751727952,Bar Ribalda,"41,4026552","2,1328307",
node/4755496723,Brewdog,"41,3857301","2,1581661",
node/4756410449,Hotel Restaurant Bayona,"41,6170066","1,3998919",
node/4756509699,Morro fi,"41,3833069","2,1550311",
node/4768496536,Bodega Chumi,"41,4914537","2,1386561",
node/4776357929,Tomodachi,"41,4053891","2,1644663",
node/4776361623,Bar Pietro,"41,4025961","0,2159745",
node/4777016828,Frankfurt,"41,4090523","0,2185381",
node/4778618049,De Gustibus Italiae,"41,4027491","2,1330183",
node/4784670742,Índigo Café,"41,3874831","2,1626443",
node/4792724121,Venus Delicatessen Barcelona,"41,3807065","2,1779781",
node/4793643274,Bar del Casal,"41,5554321","1,9541499",
node/4802341078,El Quatre,"41,4031267","2,1333762",
node/4805335780,Madonna Vegan,"41,3812162","2,1671279",
node/4816093515,Olímpic Bar,"41,4422394","2,2177816",
node/4822739686,Bar El Racó,"41,4417497","2,2212713",
node/4831627377,Restaurante Vallpineda,"41,2462312","1,7950153",
node/4838956921,Supra,"41,3910798","2,1613999",
